epoch 1: f[1.1230165435681663, 0.9346265157834601] = 5.807852563638544
epoch 2: f[1.1230165435681663, 0.9346265157834601] = 5.807852563638544
epoch 3: f[0.9611422396387006, 0.9346110185748948] = 2.9260495241270945
epoch 4: f[0.9611422396387006, 0.9346110185748948] = 2.9260495241270945
epoch 5: f[0.9879798285949128, 0.0671917240137887] = 1.887138903736993
epoch 6: f[0.9882659309068877, 0.05557835433354086] = 1.610488619757625
epoch 7: f[0.9882659309068877, 0.05557835433354086] = 1.610488619757625
epoch 8: f[0.9883040778818177, 0.05557835433354086] = 1.6103877534464246
epoch 9: f[1.0057789686786514, 0.047336223562730595] = 1.459472655637036
epoch 10: f[0.007148385473989549, 1.0005492568343435] = 1.0112943892083521
epoch 11: f[0.007148385473989549, 1.0005492568343435] = 1.0112943892083521
epoch 12: f[0.007134080358390804, 1.001769960032103] = 1.0142569318411176
epoch 13: f[0.007134080358390804, 1.001769960032103] = 1.0142569318411176
epoch 14: f[0.007134080358390804, 1.001769960032103] = 1.0142569318411176
epoch 15: f[0.03608048177245138, 0.055982473849205405] = 0.8725844126630307
epoch 16: f[0.03608048177245138, 0.055982473849205405] = 0.8725844126630307
epoch 17: f[0.02916157419452503, 0.05588353013298075] = 0.7815078202775183
epoch 18: f[0.02916157419452503, 0.05588353013298075] = 0.7815078202775183
epoch 19: f[0.0014454127219565294, 0.0347310325343031] = 0.23878048394942653
epoch 20: f[0.0014454127219565294, 0.0347310325343031] = 0.23878048394942653
epoch 21: f[0.006324649234095148, 0.03595173573206267] = 0.26327901913582963
epoch 22: f[0.00629723109586422, 0.03352821073104195] = 0.2300674827060334
epoch 23: f[0.00629723109586422, 0.03352821073104195] = 0.2300674827060334
epoch 24: f[0.00629723109586422, 0.0310868043355228] = 0.19898454870870808
epoch 25: f[0.00629723109586422, 0.0310868043355228] = 0.19898454870870808
epoch 26: f[0.0065439943399425715, 0.033490063756111965] = 0.2301924883473312
epoch 27: f[0.0065582994555413165, 0.03330290516036172] = 0.22776765587732228
epoch 28: f[0.005490184157501687, 0.033313633997060776] = 0.2253558925326118
epoch 29: f[0.02087533598395197, 0.02353727957828511] = 0.19604273381580128
epoch 30: f[0.02087533598395197, 0.02353727957828511] = 0.19604273381580128
epoch 31: f[0.020936132725246637, 0.007265210584712634] = 0.0973048315847862
epoch 32: f[0.020936132725246637, 0.007265210584712634] = 0.0973048315847862
epoch 33: f[0.020936132725246637, 0.007265210584712634] = 0.0973048315847862
epoch 34: f[0.971058068934564, -0.009636283495204623] = 1.1262579201045249
epoch 35: f[0.03077328388531697, 0.0355106613344347] = 0.4364375755313752
epoch 36: f[0.03077328388531697, 0.0355106613344347] = 0.4364375755313752
epoch 37: f[0.9748644217767968, 0.00846922448094034] = 1.0890403058980027
epoch 38: f[-1.0124403841758003, 0.00846922448094034] = 1.069795883622831
epoch 39: f[0.000761151359149892, 0.9992939829405536] = 0.9988017947717509
epoch 40: f[0.000761151359149892, 0.9992939829405536] = 0.9988017947717509
epoch 41: f[0.06062448386099817, 0.008473992852806589] = 0.7346691852416996
epoch 42: f[0.019990803002762902, 0.05024016202927584] = 0.5758129595551722
epoch 43: f[0.019990803002762902, 0.05024016202927584] = 0.5758129595551722
epoch 44: f[0.000720620198286781, 1.0093302136260398] = 1.0360291339989942
epoch 45: f[0.000720620198286781, 1.0093302136260398] = 1.0360291339989942
epoch 46: f[0.0006943941530224151, 1.0001868605725086] = 1.0004763095644371
epoch 47: f[0.0006943941530224151, 1.0001868605725086] = 1.0004763095644371
epoch 48: f[0.020226837410142195, 1.0007972121713884] = 1.082779025890492
epoch 49: f[0.014132858165076811, 1.011540353986046] = 1.0890914789847557
epoch 50: f[0.014132858165076811, 1.011540353986046] = 1.0890914789847557
epoch 51: f[0.014132858165076811, 0.9920091028218927] = 1.036284247782234
epoch 52: f[0.9956175682316761, 1.0004133582361554] = 1.9959057722106905
epoch 53: f[1.0255414858783176, 0.06293595212316205] = 1.9559139856924865
epoch 54: f[1.0255045309963542, 0.06274521724851212] = 1.9508336040063483
epoch 55: f[0.0049930813904452975, 1.0147566208098304] = 1.0776295753499205
epoch 56: f[0.0049930813904452975, 1.0147566208098304] = 1.0776295753499205
epoch 57: f[0.0049930813904452975, 1.0095209485006897] = 1.041966180907
epoch 58: f[0.004927516277284383, 0.9815556395981098] = 1.0353447001677338
epoch 59: f[0.004927516277284383, 0.9815556395981098] = 1.0353447001677338
epoch 60: f[0.004926324184317821, 0.9815556395981098] = 1.03534237008693
epoch 61: f[0.004929900463217507, 1.0080332164784203] = 1.0336878011084565
epoch 62: f[0.004939437206950004, 1.0077113513774485] = 1.0320577717851194
epoch 63: f[0.004939437206950004, 1.0077113513774485] = 1.0320577717851194
